"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00947418285172904,0.00994789199431549,0.0104216011369019,0.0113690194220748,0.0127901468498342,0.0189483657034581,0.0270014211274278
"0.05",0.049265750828991,0.0530554239696826,0.0563713879677878,0.05873993368072,0.0686878256750355,0.0942681193747039,0.12553292278541
"0.1",0.0994789199431549,0.100426338228328,0.104689720511606,0.116532449076267,0.138323069635244,0.177640928469919,0.216011369019422
"0.2",0.199431549028896,0.204168640454761,0.207958313595452,0.219801042160114,0.246802463287541,0.313595452392231,0.386546660350545
"0.3",0.299384178114638,0.305542396968261,0.312648034107058,0.339649455234486,0.374230222643297,0.45665561345334,0.531501657981999
"0.4",0.399336807200379,0.406916153481762,0.416390336333491,0.445760303173851,0.478446234012316,0.565608716248224,0.663666508763619
"0.5",0.49928943628612,0.506395073424917,0.516342965419233,0.537659876835623,0.585978209379441,0.684983420180009,0.783988630980578
"0.6",0.599242065371862,0.612505921364282,0.619611558503079,0.649928943628612,0.694457603031739,0.80104216011369,0.895310279488394
"0.7",0.699194694457603,0.710563713879678,0.721459024159166,0.748460445286594,0.804831833254382,0.898626243486499,1
"0.8",0.799147323543344,0.808621506395073,0.815253434391284,0.843675982946471,0.894836570345808,0.99336807200379,1
"0.9",0.899099952629086,0.912837517764093,0.923259118900995,0.957839886309806,1,1,1
"1",0.999526290857414,1,1,1,1,1,1
