"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00919681177191907,0.00980993255671367,0.00980993255671367,0.0110361741263029,0.0128755364806867,0.0171673819742489,0.0269773145309626
"0.05",0.0490496627835684,0.0533415082771306,0.055793991416309,0.0613120784794605,0.0711220110361741,0.0938074800735745,0.126302881667689
"0.1",0.0993255671367259,0.10116492949111,0.101778050275904,0.112201103617413,0.131207847946045,0.179644389944819,0.239117106069896
"0.2",0.199264255058246,0.205395462906193,0.213366033108522,0.231146535867566,0.256897608828939,0.321275291232373,0.396689147762109
"0.3",0.299202942979767,0.307786633966891,0.314530962599632,0.3408951563458,0.377682403433476,0.466584917228694,0.555487431023912
"0.4",0.399141630901288,0.408951563458001,0.41814837522992,0.448191293684856,0.490496627835684,0.576333537706928,0.660944206008584
"0.5",0.499080318822808,0.506437768240343,0.512568976088289,0.538320049049663,0.582464745554874,0.671980380134887,0.784794604537094
"0.6",0.599019006744329,0.609442060085837,0.614960147148988,0.638258736971183,0.694052728387492,0.803188228080932,0.931330472103004
"0.7",0.698957694665849,0.708154506437768,0.722869405272839,0.754138565297364,0.809932556713673,0.93746167995095,1
"0.8",0.79889638258737,0.810545677498467,0.826486817903127,0.866339668914776,0.923973022685469,1,1
"0.9",0.89883507050889,0.909871244635193,0.92274678111588,0.954629061925199,1,1,1
"1",0.999386879215205,1,1,1,1,1,1
