"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00919681177191907,0.0110361741263029,0.0110361741263029,0.0110361741263029,0.0128755364806867,0.0196198651134273,0.029429797670141
"0.05",0.0490496627835684,0.0502759043531576,0.0539546290619252,0.0594727161250766,0.0705088902513795,0.100551808706315,0.128755364806867
"0.1",0.0993255671367259,0.102391171060699,0.104230533415083,0.111587982832618,0.128142244022072,0.166155732679338,0.21704475781729
"0.2",0.199264255058246,0.202942979767014,0.210300429184549,0.226854690374004,0.255058246474555,0.320662170447578,0.394236664622931
"0.3",0.299202942979767,0.305334150827713,0.312691600245248,0.331698344573881,0.374003678724709,0.453709380748007,0.554874310239117
"0.4",0.399141630901288,0.41017780502759,0.417535254445126,0.438381361128142,0.486204782342121,0.583690987124464,0.679337829552422
"0.5",0.499080318822808,0.513795217657879,0.524218270999387,0.553034947884733,0.595953402820356,0.694665849172287,0.814837522992029
"0.6",0.599019006744329,0.608828939301042,0.619251992642551,0.65113427345187,0.700797057020233,0.820355610055181,0.936235438381361
"0.7",0.698957694665849,0.713059472716125,0.722869405272839,0.755977927651747,0.819742489270386,0.936235438381361,1
"0.8",0.79889638258737,0.814837522992029,0.827099938687922,0.862660944206009,0.92274678111588,1,1
"0.9",0.89883507050889,0.909258123850399,0.926425505824647,0.954015941140405,1,1,1
"1",0.999386879215205,1,1,1,1,1,1
