"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00919681177191907,0.00980993255671367,0.00980993255671367,0.0128755364806867,0.0147148988350705,0.0288166768853464,0.0441446965052115
"0.05",0.0490496627835684,0.052728387492336,0.055793991416309,0.0625383200490497,0.0748007357449418,0.11587982832618,0.16247700797057
"0.1",0.0993255671367259,0.104230533415083,0.108522378908645,0.124463519313305,0.152667075413857,0.204782342121398,0.282035561005518
"0.2",0.199264255058246,0.206621704475782,0.213366033108522,0.235438381361128,0.276517473942367,0.374616799509503,0.492335990190067
"0.3",0.299202942979767,0.309012875536481,0.319435928877989,0.354996934396076,0.410790925812385,0.521152667075414,0.64316370324954
"0.4",0.399141630901288,0.407112201103617,0.421827099938688,0.45800122624157,0.505211526670754,0.625383200490497,0.76026977314531
"0.5",0.499080318822808,0.507664009809933,0.51931330472103,0.554261189454322,0.613120784794605,0.746167995095034,0.890251379521766
"0.6",0.599019006744329,0.610668301655426,0.621091354996934,0.664622930717351,0.724095646842428,0.865113427345187,1
"0.7",0.698957694665849,0.711833231146536,0.726548129981606,0.767627222562845,0.836909871244635,0.98528510116493,1
"0.8",0.79889638258737,0.814224402207235,0.830165542611895,0.877375843041079,0.950950337216432,1,1
"0.9",0.89883507050889,0.917228694052728,0.928877988963826,0.973022685469037,1,1,1
"1",0.999386879215205,1,1,1,1,1,1
