"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00943396226415094,0.0101596516690856,0.0101596516690856,0.0108853410740203,0.0137880986937591,0.0195936139332366,0.0268505079825835
"0.05",0.0493468795355588,0.0504354136429608,0.0504354136429608,0.0537010159651669,0.0613207547169811,0.0816400580551524,0.107764876632801
"0.1",0.0994194484760522,0.102685050798258,0.10522496371553,0.117198838896952,0.131349782293179,0.170174165457184,0.212626995645864
"0.2",0.199564586357039,0.206095791001451,0.21044992743106,0.223875181422351,0.253628447024673,0.311320754716981,0.369738751814223
"0.3",0.299346879535559,0.304426705370102,0.309869375907112,0.325834542815675,0.355587808417997,0.417634252539913,0.48766328011611
"0.4",0.399492017416546,0.408563134978229,0.414368650217707,0.431422351233672,0.467706821480406,0.543904208998549,0.63933236574746
"0.5",0.499637155297533,0.509071117561684,0.517416545718433,0.53955007256894,0.584542815674891,0.676342525399129,0.771044992743106
"0.6",0.599419448476052,0.607764876632801,0.615021770682148,0.645137880986938,0.691582002902758,0.783744557329463,0.879535558780842
"0.7",0.699564586357039,0.710812772133527,0.71988388969521,0.748185776487663,0.794267053701016,0.886066763425254,0.975326560232221
"0.8",0.799346879535559,0.810595065312046,0.820391872278665,0.845428156748911,0.891146589259797,0.979680696661829,1
"0.9",0.899492017416546,0.911828737300435,0.924165457184325,0.948476052249637,0.989477503628447,1,1
"1",0.999637155297533,1,1,1,1,1,1
