"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00943396226415094,0.0101596516690856,0.0108853410740203,0.012699564586357,0.0156023222060958,0.022133526850508,0.0283018867924528
"0.05",0.0493468795355588,0.0504354136429608,0.0518867924528302,0.0551523947750363,0.0609579100145138,0.0834542815674891,0.11066763425254
"0.1",0.0994194484760522,0.10377358490566,0.104499274310595,0.112481857764877,0.128084179970972,0.154571843251089,0.200290275761974
"0.2",0.199564586357039,0.204644412191582,0.21044992743106,0.224238026124819,0.252539912917271,0.3033381712627,0.361393323657475
"0.3",0.299346879535559,0.305152394775036,0.310232220609579,0.325834542815675,0.356676342525399,0.417271407837446,0.49455732946299
"0.4",0.399492017416546,0.405297532656023,0.412917271407837,0.437227866473149,0.473875181422351,0.556240928882438,0.635703918722787
"0.5",0.499637155297533,0.505805515239477,0.515239477503628,0.542815674891147,0.581277213352685,0.661828737300435,0.757982583454282
"0.6",0.599419448476052,0.607764876632801,0.615747460087083,0.637880986937591,0.680696661828737,0.773947750362845,0.872641509433962
"0.7",0.699564586357039,0.708272859216255,0.716981132075472,0.750362844702467,0.793178519593614,0.888606676342525,0.984397677793904
"0.8",0.799346879535559,0.809506531204644,0.818577648766328,0.851959361393324,0.895137880986938,0.989477503628447,1
"0.9",0.899492017416546,0.908200290275762,0.917271407837446,0.945573294629898,0.996008708272859,1,1
"1",0.999637155297533,1,1,1,1,1,1
