"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00943396226415094,0.00979680696661829,0.010522496371553,0.011611030478955,0.0141509433962264,0.0199564586357039,0.0272133526850508
"0.05",0.0493468795355588,0.0504354136429608,0.0511611030478955,0.0537010159651669,0.0624092888243832,0.0852685050798258,0.111756168359942
"0.1",0.0994194484760522,0.101959361393324,0.104499274310595,0.112481857764877,0.129898403483309,0.169085631349782,0.210087082728592
"0.2",0.199564586357039,0.202830188679245,0.204644412191582,0.21988388969521,0.24455732946299,0.302975326560232,0.359941944847605
"0.3",0.299346879535559,0.304426705370102,0.311683599419448,0.325834542815675,0.354862119013062,0.416908563134978,0.488388969521045
"0.4",0.399492017416546,0.405297532656023,0.41255442670537,0.431422351233672,0.469158200290276,0.540638606676343,0.635703918722787
"0.5",0.499637155297533,0.509796806966618,0.517053701015965,0.534833091436865,0.58055152394775,0.679970972423803,0.768505079825834
"0.6",0.599419448476052,0.609579100145138,0.616835994194485,0.645137880986938,0.69121915820029,0.788098693759071,0.881712626995646
"0.7",0.699564586357039,0.709361393323657,0.718069666182874,0.748911465892598,0.793178519593614,0.888243831640058,0.970972423802613
"0.8",0.799346879535559,0.808055152394775,0.818577648766328,0.847242380261248,0.893686502177068,0.977503628447025,1
"0.9",0.899492017416546,0.908563134978229,0.916545718432511,0.940130624092888,0.9822206095791,1,1
"1",0.999637155297533,1,1,1,1,1,1
