"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00943396226415094,0.00979680696661829,0.0101596516690856,0.012699564586357,0.0159651669085631,0.02322206095791,0.0308417997097242
"0.05",0.0493468795355588,0.0511611030478955,0.0518867924528302,0.0566037735849057,0.0660377358490566,0.0881712626995646,0.111756168359942
"0.1",0.0994194484760522,0.103047895500726,0.106676342525399,0.113570391872279,0.130261248185777,0.164731494920174,0.211175616835994
"0.2",0.199564586357039,0.204281567489115,0.207910014513788,0.222423802612482,0.242743105950653,0.295718432510885,0.35522496371553
"0.3",0.299346879535559,0.304426705370102,0.310957910014514,0.330188679245283,0.362481857764877,0.434325108853411,0.502902757619739
"0.4",0.399492017416546,0.408563134978229,0.413280116110305,0.434687953555878,0.466618287373004,0.538098693759071,0.623730043541364
"0.5",0.499637155297533,0.50544267053701,0.513062409288824,0.534833091436865,0.570754716981132,0.668359941944848,0.761248185776488
"0.6",0.599419448476052,0.609216255442671,0.618650217706821,0.649129172714078,0.69811320754717,0.792089985486212,0.876632801161103
"0.7",0.699564586357039,0.707910014513788,0.716255442670537,0.746371552975327,0.794629898403483,0.876632801161103,0.972423802612482
"0.8",0.799346879535559,0.808417997097242,0.815312046444122,0.845065312046444,0.879898403483309,0.980043541364296,1
"0.9",0.899492017416546,0.914731494920174,0.925253991291727,0.952830188679245,0.996734397677794,1,1
"1",0.999637155297533,1,1,1,1,1,1
