"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00943396226415094,0.0101596516690856,0.0101596516690856,0.0119738751814224,0.0145137880986938,0.0228592162554427,0.032656023222061
"0.05",0.0493468795355588,0.0511611030478955,0.0537010159651669,0.0624092888243832,0.0761973875181422,0.107039187227866,0.147677793904209
"0.1",0.0994194484760522,0.101596516690856,0.104136429608128,0.111030478955007,0.131712626995646,0.176705370101597,0.227866473149492
"0.2",0.199564586357039,0.206095791001451,0.20899854862119,0.22133526850508,0.251814223512337,0.324383164005806,0.405297532656023
"0.3",0.299346879535559,0.30732946298984,0.316400580551524,0.340711175616836,0.381349782293179,0.46988388969521,0.570754716981132
"0.4",0.399492017416546,0.411465892597968,0.41944847605225,0.444121915820029,0.49455732946299,0.590711175616836,0.693759071117562
"0.5",0.499637155297533,0.511973875181422,0.521407837445573,0.55188679245283,0.595065312046444,0.697750362844702,0.805515239477504
"0.6",0.599419448476052,0.611756168359942,0.620101596516691,0.648766328011611,0.702467343976778,0.809143686502177,0.921988388969521
"0.7",0.699564586357039,0.711538461538462,0.722060957910015,0.757256894049347,0.80732946298984,0.919085631349782,1
"0.8",0.799346879535559,0.810595065312046,0.822206095791001,0.858853410740203,0.913280116110305,1,1
"0.9",0.899492017416546,0.911103047895501,0.921262699564586,0.96044992743106,1,1,1
"1",0.999637155297533,1,1,1,1,1,1
