"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00940128649183572,0.0098960910440376,0.0098960910440376,0.0103908955962395,0.012370113805047,0.0188025729836714,0.0262246412666997
"0.05",0.049480455220188,0.0504700643245918,0.0519544779811974,0.0539336961900049,0.0598713508164275,0.0811479465611084,0.103908955962395
"0.1",0.0994557149925779,0.101434933201385,0.105393369619,0.114794656110836,0.130133597229095,0.166254329539832,0.21326076199901
"0.2",0.199406234537358,0.20534388916378,0.210291934685799,0.224641266699654,0.247897080653142,0.309252845126175,0.372093023255814
"0.3",0.299356754082138,0.30776843146957,0.310242454230579,0.327560613557645,0.361207323107373,0.431964374072241,0.512122711528946
"0.4",0.399307273626917,0.405739732805542,0.415635823849579,0.43691241959426,0.480455220188026,0.558139534883721,0.650173181593271
"0.5",0.499257793171697,0.506185056902523,0.513607125185552,0.539831766452251,0.574962889658585,0.675903018307768,0.757050964868877
"0.6",0.599208312716477,0.611083621969322,0.62097971301336,0.653636813458684,0.697674418604651,0.774369124195943,0.857001484413657
"0.7",0.699158832261257,0.705591291439881,0.714002968827313,0.739238000989609,0.774863928748144,0.857001484413657,0.954972785749629
"0.8",0.799109351806037,0.806036615536863,0.815932706580901,0.843641761504206,0.890648193963384,0.991093518060366,1
"0.9",0.899059871350816,0.908461157842652,0.916872835230084,0.946561108362197,1,1,1
"1",0.999505195447798,1,1,1,1,1,1
