"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00940128649183572,0.0103908955962395,0.0103908955962395,0.0128649183572489,0.0153389411182583,0.0237506185056903,0.0361207323107373
"0.05",0.049480455220188,0.0519544779811974,0.0564077189510143,0.0613557644730332,0.0737258782780802,0.103908955962395,0.133102424542306
"0.1",0.0994557149925779,0.102424542305789,0.105393369619,0.113805047006432,0.129638792676893,0.174666006927264,0.236516575952499
"0.2",0.199406234537358,0.206333498268184,0.209797130133597,0.23156853043048,0.261256803562593,0.324591786244433,0.403760514596734
"0.3",0.299356754082138,0.306778822365166,0.31321128154379,0.33151904997526,0.369619000494805,0.462147451756556,0.557149925779317
"0.4",0.399307273626917,0.40524492825334,0.412172191984166,0.438891637803068,0.487877288471054,0.591786244433449,0.703612073231074
"0.5",0.499257793171697,0.509648688767937,0.518060366155369,0.546759030183078,0.603661553686294,0.714497773379515,0.833250865907966
"0.6",0.599208312716477,0.612073231073726,0.619990103908956,0.654131618010886,0.711528946066304,0.831271647699159,0.936170212765957
"0.7",0.699158832261257,0.708560118753093,0.719940623453736,0.751113310242454,0.811479465611084,0.924294903513112,1
"0.8",0.799109351806037,0.810984661058882,0.82632360217714,0.85799109351806,0.91044037605146,1,1
"0.9",0.899059871350816,0.908461157842652,0.920336467095497,0.947055912914399,1,1,1
"1",0.999505195447798,1,1,1,1,1,1
