"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00975725844835792,0.0104712041884817,0.0111851499286054,0.0126130414088529,0.0133269871489767,0.0211803902903379,0.0292717753450738
"0.05",0.049738219895288,0.052594002855783,0.0540218943360305,0.0578296049500238,0.0652070442646359,0.0863874345549738,0.114945264159924
"0.1",0.0997144217039505,0.102332222751071,0.106853879105188,0.115183246073298,0.130414088529272,0.164207520228463,0.202284626368396
"0.2",0.199666825321276,0.203712517848643,0.207758210376011,0.22275107091861,0.24869109947644,0.30271299381247,0.368396001903855
"0.3",0.299619228938601,0.304854831032842,0.309376487386959,0.328891004283674,0.363636363636364,0.424559733460257,0.492146596858639
"0.4",0.399571632555926,0.406711089957163,0.413612565445026,0.429081389814374,0.461446930033317,0.532841504045693,0.616373155640171
"0.5",0.499762018086625,0.507139457401238,0.513326987148977,0.538791051880057,0.57734412184674,0.659685863874346,0.747263207996192
"0.6",0.599714421703951,0.61113755354593,0.617087101380295,0.637315564017135,0.680628272251309,0.772013326987149,0.85721085197525
"0.7",0.699666825321276,0.709900047596383,0.718943360304617,0.747025226082818,0.79128986197049,0.876487386958591,0.961208948119943
"0.8",0.799619228938601,0.811042360780581,0.819609709662066,0.843645882912899,0.888148500713946,0.972156116135174,1
"0.9",0.899571632555926,0.905759162303665,0.912422655878153,0.93717277486911,0.985245121370776,1,1
"1",0.999762018086625,1,1,1,1,1,1
