"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00942476438089048,0.0097497562560936,0.010724731881703,0.0120246993825154,0.0139746506337342,0.0198245043873903,0.0311992200194995
"0.05",0.0493987650308742,0.0513487162820929,0.0536236594085148,0.0601234969125772,0.0679233019174521,0.0971725706857329,0.128371790705232
"0.1",0.0994475138121547,0.102697432564186,0.105297367565811,0.115372115697108,0.130321741956451,0.18329541761456,0.244068898277543
"0.2",0.199545011374716,0.204419889502762,0.211244718882028,0.230419239519012,0.256093597660059,0.328241793955151,0.404289892752681
"0.3",0.299642508937277,0.306792330191745,0.315892102697433,0.337666558336042,0.370490737731557,0.463113422164446,0.557036074098148
"0.4",0.399415014624634,0.410789730256744,0.420214494637634,0.446213844653884,0.493662658433539,0.597660058498538,0.716932076698083
"0.5",0.499512512187195,0.507637309067273,0.521286967825804,0.552161195970101,0.606434839129022,0.728956776080598,0.840753981150471
"0.6",0.599610009749756,0.609034774130647,0.620409489762756,0.655508612284693,0.718557036074098,0.830354241143971,0.950601234969126
"0.7",0.699382515437114,0.714332141696458,0.724731881702957,0.759506012349691,0.811179720506987,0.93435164120897,1
"0.8",0.799480012999675,0.809554761130972,0.821579460513487,0.858953526161846,0.922651933701657,1,1
"0.9",0.899577510562236,0.910627234319142,0.921351966200845,0.955151121221969,1,1,1
"1",0.999675008124797,1,1,1,1,1,1
