"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00994392986586537,0.0102846875871256,0.0107493572070258,0.0120814101174065,0.0153650754313683,0.0319073138998172,0.0831139060128249
"0.05",0.049967473126607,0.0526006009727084,0.0550478609708497,0.0650847247606951,0.0872339766426071,0.182615160620799,0.386605123757009
"0.1",0.099965924227874,0.104984356122797,0.110064743967039,0.12874446268703,0.177968464421796,0.362814039218116,0.608345466373408
"0.2",0.199962826430408,0.212446950218395,0.224807162107741,0.269012731947585,0.371890585793501,0.670301415693442,0.823456522412565
"0.3",0.299959728632942,0.317307394442551,0.335243641770701,0.402558780706917,0.561073077042223,0.829776029243208,0.90669434032403
"0.4",0.399956630835476,0.423437935627769,0.450078993835383,0.544066168953874,0.743192590068461,0.911341036523032,0.946129302066231
"0.5",0.49995353303801,0.531891824912487,0.565379015519965,0.68572844707413,0.87020228617453,0.951426535733094,0.968588333694743
"0.6",0.599950435240544,0.639230507109445,0.681763266317648,0.824292927728385,0.938229918527927,0.972987206096465,0.98218766457049
"0.7",0.699947337443078,0.746042563737183,0.795204609522629,0.924816455500139,0.971159505591524,0.986555558997553,0.991171277221895
"0.8",0.799944239645612,0.85180136922648,0.908398128930331,0.975372510145287,0.988445215451814,0.993990272915957,0.995198413927697
"0.9",0.899941141848146,0.959140051423438,0.984418078746012,0.994083206839937,0.996623400762058,0.997397850128559,0.997800563799139
"1",0.99996902202534,1,1,1,1,1,1
