"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00994392986586537,0.0103466435364456,0.0109352250549859,0.0124221678386667,0.0157368111272885,0.0328056751649577,0.0911372014497692
"0.05",0.049967473126607,0.0529723366686286,0.0557603543880301,0.0679037204547567,0.0964963910659521,0.2217403426164,0.450388773581983
"0.1",0.099965924227874,0.105851739413277,0.113565255103621,0.138626436603575,0.200520429974288,0.431709054861993,0.677952975434466
"0.2",0.199962826430408,0.213035531736935,0.226479972739382,0.278894705864131,0.404448437161178,0.715219478950466,0.858523589727704
"0.3",0.299959728632942,0.321024751401753,0.342833245562405,0.42647377714445,0.602428673213345,0.860103466435365,0.923887116260339
"0.4",0.399956630835476,0.430624825748893,0.460301725473189,0.564635544128125,0.765775533595614,0.923453424615099,0.953997707629875
"0.5",0.49995353303801,0.532914098076268,0.570056689693628,0.694712059725535,0.875592453765373,0.955422694464236,0.970508968123664
"0.6",0.599950435240544,0.641925590904867,0.68498497568229,0.823053808741984,0.939561971438307,0.974164369133546,0.983457761531551
"0.7",0.699947337443078,0.744958334624082,0.790929649019547,0.919147486137356,0.971841021034045,0.986121867352313,0.990365849880735
"0.8",0.799944239645612,0.847588364672718,0.896285740838264,0.973049162045785,0.987360986338713,0.993246801524116,0.994516898485177
"0.9",0.899941141848146,0.951643381555714,0.98221864254515,0.993897338991977,0.996685356711378,0.997676651900499,0.998265233419039
"1",0.99996902202534,1,1,1,1,1,1
