"","Heritability"
"Surv",0.919513747434551
"HD_1",0.911723176046854
"FD_1",0.917454641304807
"HD_50.",0.913571920134314
"FD_50.",0.912611586360865
"CmDW_g",0.966374368713298
"Cml_cm",0.949327605304414
"CmD_BI_mm",0.94252096097229
"CmD_LI_mm",0.935210035352321
"CmN.",0.938197081534397
"Bcirc_cm",0.959983714427543
"Yld_kg",0.961447294073248
"SDW_kg",0.957917116270476
"CCirc_cm",0.919922920048608
"Lg",0.845386461048795
"GS",0.976577677465221
"TFN.",0.913194738498192
"FNMain",0.837734439638149
"FNsmall",0.788057401120821
"FD",0.936117600221185
"SRD",0.914666456232059
"ADD",0.975083361384025
"HW_1",0.913395847545279
"FW_1",0.920365023053837
"HW_50",0.916420911446472
"FW_50",0.915336441958016
"GHW_1",0.91229347846409
"GFW_1",0.92024670834879
"GHW_50",0.912452468612535
"GFW_50",0.907640847481752
"HM_1",0.910943310614269
"FM_1",0.909634163994889
"HM_50",0.886965756499917
"FM_50",0.889877744680607
