"Taxa","Korea.N.China","Yangtze.Qinling","Central.Japan","North.Japan","SE.China","South.Japan","Msa","Sichuan"
"CANE9233-US47-0011",0,0,0.022,0.001,0.8,0.005,0.092,0.08
"DC-2010-001-A",0.0462,0.0096,0.3018,0.0772,0.044,0.4886,0.0162,0.017
"DC-2010-001-E",0.021,0.0156,0.3028,0.0734,0.0432,0.528,0.0072,0.0084
"KY-2009-001-B20-b",0.0292,0.0176,0.3196,0.079,0.041,0.5004,0.0036,0.0098
"KY-2009-001-B20-e",0.0236,0.0174,0.3398,0.0662,0.05,0.4864,0.0036,0.0124
"KY-2009-001-C",0.0202,0.0202,0.327,0.0642,0.0348,0.5238,0.0042,0.0058
"KY-2009-001-D",0.0412,0.0166,0.329,0.0774,0.0538,0.4526,0.0146,0.0146
"NC-2010-001-009",0.0314,0.0156,0.2578,0.0418,0.0388,0.5956,0.0048,0.0138
"NC-2010-001-010",0.0252,0.0138,0.2772,0.0444,0.0388,0.5796,0.0054,0.0152
"NC-2010-001-5-B18-a",0.03,0.012,0.222,0.021,0.05,0.643,0.008,0.014
"NC-2010-001-5-B18-b",0.02,0.007,0.271,0.019,0.043,0.629,0.003,0.006
"NC-2010-001-5-C",0.029,0.015,0.259,0.05,0.052,0.574,0.007,0.015
"NC-2010-001-B",0.0226,0.014,0.2284,0.0152,0.0342,0.6642,0.0026,0.0188
"NC-2010-001-B44-e",0.03,0.018,0.231,0.023,0.037,0.64,0.008,0.013
"NC-2010-002-001",0.0354,0.0122,0.2078,0.0148,0.0454,0.6458,0.031,0.0078
"NC-2010-002-002",0.0186,0.0088,0.2516,0.0246,0.0342,0.65,0.0022,0.01
"NC-2010-003-001",0.0254,0.0072,0.2616,0.0312,0.041,0.6106,0.0128,0.0102
"NC-2010-003-B50-a",0.043,0.015,0.213,0.019,0.041,0.653,0.004,0.012
"NC-2010-003-B50-b",0.03,0.015,0.205,0.025,0.036,0.659,0.015,0.014
"NC-2010-003-D",0.0198,0.0144,0.2312,0.0242,0.0428,0.6488,0.0036,0.015
"NC-2010-003-E",0.0298,0.0188,0.2566,0.0376,0.049,0.5924,0.0054,0.0114
"NC-2010-004-B37-b",0.015,0.005,0.375,0.067,0.033,0.498,0.003,0.004
"NC-2010-004-B37-d",0.024,0.011,0.243,0.039,0.048,0.606,0.007,0.021
"NC-2010-004-E",0.0248,0.0098,0.2958,0.0444,0.0538,0.5544,0.0068,0.0102
"OH-2009-001-B20-b",0.031,0.015,0.317,0.059,0.039,0.525,0.005,0.009
"OH-2009-001-B20-d",0.031,0.015,0.302,0.067,0.048,0.521,0.008,0.009
"PA-2010-001-005",0.0312,0.0114,0.3646,0.0838,0.048,0.4418,0.0108,0.0078
"PA-2010-001-B63-a",0.03,0.017,0.337,0.093,0.045,0.457,0.009,0.012
"PA-2010-001-B63-c",0.016,0.012,0.367,0.098,0.044,0.435,0.017,0.01
"PA-2010-002-004",0.0212,0.0068,0.419,0.1404,0.0202,0.3792,0.0048,0.0078
